location_id,location_type,address_or_label,city,state,country,latitude,longitude,cell_id,geometry_reference,synthetic_flag,data_origin,source_dataset,source_record_reference,confidence,scenario_id
LOC-006029,office,Synthetic public site 6029,Pune,Maharashtra,India,18.505005,73.899581,CELL-006029,SYN-GEO-006029,true,SYNTHETIC,,,MEDIUM,
LOC-006608,transit,Synthetic office site 6608,Nashik,Maharashtra,India,19.927499,73.76255,CELL-006608,SYN-GEO-006608,true,SYNTHETIC,,,MEDIUM,
LOC-006641,commercial,Synthetic public site 6641,Ahmedabad,Gujarat,India,23.033054,72.519869,CELL-006641,SYN-GEO-006641,true,SYNTHETIC,,,MEDIUM,
LOC-006699,residential,Synthetic commercial site 6699,Kolkata,West Bengal,India,22.625184,88.365208,CELL-006699,SYN-GEO-006699,true,SYNTHETIC,,,MEDIUM,
LOC-006716,residential,Synthetic office site 6716,Nagpur,Maharashtra,India,21.214497,79.020389,CELL-006716,SYN-GEO-006716,true,SYNTHETIC,,,MEDIUM,
LOC-006867,technology,Synthetic rural site 6867,Kolkata,West Bengal,India,22.539333,88.328981,CELL-006867,SYN-GEO-006867,true,SYNTHETIC,,,MEDIUM,
LOC-007127,warehouse,Synthetic public site 7127,Ahmedabad,Gujarat,India,22.956125,72.630865,CELL-007127,SYN-GEO-007127,true,SYNTHETIC,,,MEDIUM,
LOC-007231,commercial,Synthetic transit site 7231,Pune,Maharashtra,India,18.552052,73.876029,CELL-007231,SYN-GEO-007231,true,SYNTHETIC,,,MEDIUM,
LOC-007251,public,Synthetic financial site 7251,Nagpur,Maharashtra,India,21.115597,79.082519,CELL-007251,SYN-GEO-007251,true,SYNTHETIC,,,MEDIUM,
LOC-007336,warehouse,Synthetic residential site 7336,Pune,Maharashtra,India,18.536083,73.795304,CELL-007336,SYN-GEO-007336,true,SYNTHETIC,,,MEDIUM,
LOC-007371,residential,Synthetic rural site 7371,Hyderabad,Telangana,India,17.319356,78.406725,CELL-007371,SYN-GEO-007371,true,SYNTHETIC,,,MEDIUM,
LOC-007711,commercial,Synthetic technology site 7711,Hyderabad,Telangana,India,17.405735,78.492834,CELL-007711,SYN-GEO-007711,true,SYNTHETIC,,,MEDIUM,
LOC-007773,rural,Synthetic financial site 7773,Pune,Maharashtra,India,18.591452,73.835623,CELL-007773,SYN-GEO-007773,true,SYNTHETIC,,,MEDIUM,
LOC-008029,warehouse,Synthetic residential site 8029,Nagpur,Maharashtra,India,21.128322,79.092527,CELL-008029,SYN-GEO-008029,true,SYNTHETIC,,,MEDIUM,
LOC-008222,public,Synthetic warehouse site 8222,Nashik,Maharashtra,India,19.971372,73.79383,CELL-008222,SYN-GEO-008222,true,SYNTHETIC,,,MEDIUM,
LOC-008275,warehouse,Synthetic transit site 8275,Ahmedabad,Gujarat,India,22.978163,72.635145,CELL-008275,SYN-GEO-008275,true,SYNTHETIC,,,MEDIUM,
LOC-008598,public,Synthetic commercial site 8598,Indore,Madhya Pradesh,India,22.698928,75.787314,CELL-008598,SYN-GEO-008598,true,SYNTHETIC,,,MEDIUM,
LOC-008679,office,Synthetic commercial site 8679,Hyderabad,Telangana,India,17.406398,78.511323,CELL-008679,SYN-GEO-008679,true,SYNTHETIC,,,MEDIUM,
LOC-008712,rural,Synthetic rural site 8712,Indore,Madhya Pradesh,India,22.66032,75.834271,CELL-008712,SYN-GEO-008712,true,SYNTHETIC,,,MEDIUM,
LOC-008896,public,Synthetic transit site 8896,Hyderabad,Telangana,India,17.423644,78.434585,CELL-008896,SYN-GEO-008896,true,SYNTHETIC,,,MEDIUM,
LOC-008948,warehouse,Synthetic office site 8948,Delhi,Delhi,India,28.674076,77.166866,CELL-008948,SYN-GEO-008948,true,SYNTHETIC,,,MEDIUM,
LOC-009166,commercial,Synthetic transit site 9166,Mumbai,Maharashtra,India,19.119391,72.942197,CELL-009166,SYN-GEO-009166,true,SYNTHETIC,,,MEDIUM,
LOC-009194,financial,Synthetic warehouse site 9194,Nagpur,Maharashtra,India,21.085057,79.072715,CELL-009194,SYN-GEO-009194,true,SYNTHETIC,,,MEDIUM,
LOC-009197,transit,Synthetic public site 9197,Nagpur,Maharashtra,India,21.217771,79.112277,CELL-009197,SYN-GEO-009197,true,SYNTHETIC,,,MEDIUM,
LOC-009386,commercial,Synthetic public site 9386,Delhi,Delhi,India,28.591048,77.27934,CELL-009386,SYN-GEO-009386,true,SYNTHETIC,,,MEDIUM,
LOC-009427,financial,Synthetic transit site 9427,Nagpur,Maharashtra,India,21.132198,79.013327,CELL-009427,SYN-GEO-009427,true,SYNTHETIC,,,MEDIUM,
LOC-009432,commercial,Synthetic rural site 9432,Pune,Maharashtra,India,18.470312,73.934494,CELL-009432,SYN-GEO-009432,true,SYNTHETIC,,,MEDIUM,
LOC-009499,rural,Synthetic transit site 9499,Indore,Madhya Pradesh,India,22.646621,75.795728,CELL-009499,SYN-GEO-009499,true,SYNTHETIC,,,MEDIUM,
LOC-009679,technology,Synthetic transit site 9679,Mumbai,Maharashtra,India,19.043871,72.819067,CELL-009679,SYN-GEO-009679,true,SYNTHETIC,,,MEDIUM,
LOC-009958,rural,Synthetic transit site 9958,Hyderabad,Telangana,India,17.400634,78.437353,CELL-009958,SYN-GEO-009958,true,SYNTHETIC,,,MEDIUM,
LOC-009980,rural,Synthetic public site 9980,Pune,Maharashtra,India,18.469164,73.899738,CELL-009980,SYN-GEO-009980,true,SYNTHETIC,,,MEDIUM,
