document_id,case_id,source_entity_ids,source_relationship_ids,text_preview
M4-DOC-CASE-01334-5,CASE-01334,CASE-01334;VEH-008945;VEH-008957,,This file belongs to case CASE-01334. Case Descrip...
M4-DOC-CASE-01594-1,CASE-01594,CASE-01594,,This file belongs to case CASE-01594. Case Descrip...
M4-DOC-CASE-01594-2,CASE-01594,CASE-01594;PER-028494;PER-028498,,This file belongs to case CASE-01594. Case Descrip...
M4-DOC-CASE-01594-3,CASE-01594,ACC-008434;ACC-024231;CASE-01594;ORG-00075;ORG-00720;ORG-01672;ORG-04651;PER-028494;PER-028498,2c706a4a-78c5-4069-beb4-d7acfc25e778;46f16cc8-52bb-4d32-ac2f-af6323bee2ca;7f8c51fe-99bf-4060-ac71-7298fc1625fb;d7e859e5-7308-4b83-9771-c69fa1c56234,This file belongs to case CASE-01594. Case Descrip...
M4-DOC-CASE-01594-4,CASE-01594,CASE-01594;DEV-026915;DEV-028563;ORG-00075;ORG-00720;ORG-01672;ORG-04651;PER-028494;PER-028498,2c706a4a-78c5-4069-beb4-d7acfc25e778;46f16cc8-52bb-4d32-ac2f-af6323bee2ca;7f8c51fe-99bf-4060-ac71-7298fc1625fb;d7e859e5-7308-4b83-9771-c69fa1c56234,This file belongs to case CASE-01594. Case Descrip...
M4-DOC-CASE-01594-5,CASE-01594,CASE-01594;VEH-013494;VEH-013498,,This file belongs to case CASE-01594. Case Descrip...
M4-DOC-CASE-00349-1,CASE-00349,CASE-00349,,This file belongs to case CASE-00349. Case Descrip...
M4-DOC-CASE-00349-2,CASE-00349,CASE-00349;PER-006443;PER-006463,,This file belongs to case CASE-00349. Case Descrip...
M4-DOC-CASE-00349-3,CASE-00349,ACC-009626;ACC-012907;CASE-00349;ORG-01706;ORG-03226;ORG-04816;PER-006443;PER-006463,0c392ced-d030-4964-95e2-79d04a43f7e3;e10f77f4-f8a9-4bde-8a83-5d6469f105b2;f90bfe0b-0992-4d31-a38f-eaf488ddb42c,This file belongs to case CASE-00349. Case Descrip...
M4-DOC-CASE-00349-4,CASE-00349,CASE-00349;DEV-006423;DEV-018408;ORG-01706;ORG-03226;ORG-04816;PER-006443;PER-006463,0c392ced-d030-4964-95e2-79d04a43f7e3;e10f77f4-f8a9-4bde-8a83-5d6469f105b2;f90bfe0b-0992-4d31-a38f-eaf488ddb42c,This file belongs to case CASE-00349. Case Descrip...
M4-DOC-CASE-00349-5,CASE-00349,CASE-00349;VEH-006991;VEH-008408,,This file belongs to case CASE-00349. Case Descrip...
M4-DOC-CASE-01269-1,CASE-01269,CASE-01269,,This file belongs to case CASE-01269. Case Descrip...
M4-DOC-CASE-01269-2,CASE-01269,CASE-01269;PER-022852;PER-022857,,This file belongs to case CASE-01269. Case Descrip...
M4-DOC-CASE-01269-3,CASE-01269,ACC-000543;ACC-002729;CASE-01269;ORG-03349;ORG-04916;ORG-04951;PER-022852;PER-022857,65fe3f2c-4f9d-4770-a921-f5b710dfd3c5;6b93813e-449e-4dfd-abad-9baf792871e7;753c65f4-23af-4d16-96ec-57092aa8c139,This file belongs to case CASE-01269. Case Descrip...
M4-DOC-CASE-01269-4,CASE-01269,CASE-01269;DEV-001472;DEV-025053;ORG-03349;ORG-04916;ORG-04951;PER-022852;PER-022857,65fe3f2c-4f9d-4770-a921-f5b710dfd3c5;6b93813e-449e-4dfd-abad-9baf792871e7;753c65f4-23af-4d16-96ec-57092aa8c139,This file belongs to case CASE-01269. Case Descrip...
M4-DOC-CASE-01269-5,CASE-01269,CASE-01269;VEH-004310;VEH-007852,,This file belongs to case CASE-01269. Case Descrip...
M4-DOC-CASE-01994-1,CASE-01994,CASE-01994,,This file belongs to case CASE-01994. Case Descrip...
M4-DOC-CASE-01994-2,CASE-01994,CASE-01994;PER-035454;PER-035465,,This file belongs to case CASE-01994. Case Descrip...
M4-DOC-CASE-01994-3,CASE-01994,ACC-007625;ACC-028020;CASE-01994;ORG-00176;ORG-01122;PER-035454;PER-035465,654de1ba-4f7c-4b9f-8f86-1035be14d8df;e781dca9-5267-48d1-ad20-1db33c48e8de,This file belongs to case CASE-01994. Case Descrip...
M4-DOC-CASE-01994-4,CASE-01994,CASE-01994;DEV-020375;DEV-030159;ORG-00176;ORG-01122;PER-035454;PER-035465,654de1ba-4f7c-4b9f-8f86-1035be14d8df;e781dca9-5267-48d1-ad20-1db33c48e8de,This file belongs to case CASE-01994. Case Descrip...
M4-DOC-CASE-01994-5,CASE-01994,CASE-01994;VEH-002486;VEH-005454,,This file belongs to case CASE-01994. Case Descrip...
M4-DOC-CASE-00139-1,CASE-00139,CASE-00139,,This file belongs to case CASE-00139. Case Descrip...
M4-DOC-CASE-00139-2,CASE-00139,CASE-00139;PER-002304;PER-002324,,This file belongs to case CASE-00139. Case Descrip...
M4-DOC-CASE-00139-3,CASE-00139,ACC-009931;ACC-015999;CASE-00139;ORG-00704;ORG-03548;ORG-04600;ORG-04732;ORG-04914;PER-002304;PER-002324,17532474-10a0-4052-9ba6-95611064aa14;5241b891-b058-4335-bd07-dbeab249b860;7e379cdd-e32d-4ae1-86ed-db711066b4ee;8bb98779-a684-4254-871f-75b37b11edc8;b1f1d67d-1e84-430b-9961-ac62efb7222a,This file belongs to case CASE-00139. Case Descrip...
M4-DOC-CASE-00139-4,CASE-00139,CASE-00139;DEV-004113;DEV-020312;ORG-00704;ORG-03548;ORG-04600;ORG-04732;ORG-04914;PER-002304;PER-002324,17532474-10a0-4052-9ba6-95611064aa14;5241b891-b058-4335-bd07-dbeab249b860;7e379cdd-e32d-4ae1-86ed-db711066b4ee;8bb98779-a684-4254-871f-75b37b11edc8;b1f1d67d-1e84-430b-9961-ac62efb7222a,This file belongs to case CASE-00139. Case Descrip...
M4-DOC-CASE-00139-5,CASE-00139,CASE-00139;VEH-002324;VEH-012560,,This file belongs to case CASE-00139. Case Descrip...
M4-DOC-CASE-01519-1,CASE-01519,CASE-01519,,This file belongs to case CASE-01519. Case Descrip...
M4-DOC-CASE-01519-2,CASE-01519,CASE-01519;PER-027179;PER-027182,,This file belongs to case CASE-01519. Case Descrip...
M4-DOC-CASE-01519-3,CASE-01519,ACC-001157;ACC-022463;CASE-01519;ORG-00004;ORG-03908;ORG-04671;PER-027179;PER-027182,17ee9d59-e51e-4a4b-b5c3-0bd547984911;9a988f19-744e-45ab-b2a7-8e3d6bdbebb7;c12889d3-e9ef-4887-a469-66e74563f50f,This file belongs to case CASE-01519. Case Descrip...
M4-DOC-CASE-01519-4,CASE-01519,CASE-01519;DEV-008849;DEV-021143;ORG-00004;ORG-03908;ORG-04671;PER-027179;PER-027182,17ee9d59-e51e-4a4b-b5c3-0bd547984911;9a988f19-744e-45ab-b2a7-8e3d6bdbebb7;c12889d3-e9ef-4887-a469-66e74563f50f,This file belongs to case CASE-01519. Case Descrip...
M4-DOC-CASE-01519-5,CASE-01519,CASE-01519;VEH-001350;VEH-012179,,This file belongs to case CASE-01519. Case Descrip...
M4-DOC-CASE-01124-1,CASE-01124,CASE-01124,,This file belongs to case CASE-01124. Case Descrip...
M4-DOC-CASE-01124-2,CASE-01124,CASE-01124;PER-020096;PER-020106,,This file belongs to case CASE-01124. Case Descrip...
M4-DOC-CASE-01124-3,CASE-01124,ACC-010464;ACC-011029;CASE-01124;ORG-00629;ORG-00773;ORG-02327;ORG-02943;PER-020096;PER-020106,33b951fb-5939-498e-a7c8-116a5f76fd6e;ad1391db-cc06-41ff-b100-e01876c2371f;e823da55-6612-4a6b-9f41-25af7234b715;eed75eb6-919d-4ea2-b6c9-571123d9c4cf,This file belongs to case CASE-01124. Case Descrip...
M4-DOC-CASE-01124-4,CASE-01124,CASE-01124;DEV-019798;DEV-032258;ORG-00629;ORG-00773;ORG-02327;ORG-02943;PER-020096;PER-020106,33b951fb-5939-498e-a7c8-116a5f76fd6e;ad1391db-cc06-41ff-b100-e01876c2371f;e823da55-6612-4a6b-9f41-25af7234b715;eed75eb6-919d-4ea2-b6c9-571123d9c4cf,This file belongs to case CASE-01124. Case Descrip...
M4-DOC-CASE-01124-5,CASE-01124,CASE-01124;VEH-004077;VEH-005106,,This file belongs to case CASE-01124. Case Descrip...
M4-DOC-CASE-01059-1,CASE-01059,CASE-01059,,This file belongs to case CASE-01059. Case Descrip...
M4-DOC-CASE-01059-2,CASE-01059,CASE-01059;PER-018950;PER-018958,,This file belongs to case CASE-01059. Case Descrip...
M4-DOC-CASE-01059-3,CASE-01059,ACC-002421;ACC-029454;CASE-01059;ORG-00143;ORG-00240;ORG-00607;ORG-01111;ORG-01517;ORG-02931;ORG-03423;ORG-04857;PER-018950;PER-018958,3beef152-578a-4421-9b35-15d89735fd7a;5dd1f758-d383-4b90-8b75-d91a2ac42f8a;81db9fde-33de-4315-a0f2-e99b13455199;a20fb588-d362-4d93-9c2c-b8870b967cb6;ab906985-c8ce-4229-b9c7-d4533589c08d;c15e55ff-8c13-44f7-9318-ad616cee90d5;e90f1dd6-abad-4dc7-b4c8-f7e5fed1d55c;f2764da2-9c91-4e53-ab7c-625f50b75100,This file belongs to case CASE-01059. Case Descrip...
M4-DOC-CASE-01059-4,CASE-01059,CASE-01059;DEV-016220;DEV-034414;ORG-00143;ORG-00240;ORG-00607;ORG-01111;ORG-01517;ORG-02931;ORG-03423;ORG-04857;PER-018950;PER-018958,3beef152-578a-4421-9b35-15d89735fd7a;5dd1f758-d383-4b90-8b75-d91a2ac42f8a;81db9fde-33de-4315-a0f2-e99b13455199;a20fb588-d362-4d93-9c2c-b8870b967cb6;ab906985-c8ce-4229-b9c7-d4533589c08d;c15e55ff-8c13-44f7-9318-ad616cee90d5;e90f1dd6-abad-4dc7-b4c8-f7e5fed1d55c;f2764da2-9c91-4e53-ab7c-625f50b75100,This file belongs to case CASE-01059. Case Descrip...
M4-DOC-CASE-01059-5,CASE-01059,CASE-01059;VEH-003950;VEH-003958,,This file belongs to case CASE-01059. Case Descrip...
M4-DOC-CASE-01584-1,CASE-01584,CASE-01584,,This file belongs to case CASE-01584. Case Descrip...
M4-DOC-CASE-01584-2,CASE-01584,CASE-01584;PER-028278;PER-028283,,This file belongs to case CASE-01584. Case Descrip...
M4-DOC-CASE-01584-3,CASE-01584,ACC-015410;ACC-020137;CASE-01584;ORG-00655;ORG-02179;ORG-02308;ORG-03615;ORG-04304;PER-028278;PER-028283,4bd0a561-19f0-414d-878c-398a2b151d9c;5d2b2aee-bb58-40eb-8212-6322cee9fcc1;77bc0971-3e4f-4ee6-9f36-36aba2732123;97e3d372-2da8-4d92-a01b-1cfcc068265c;ee401f30-9a8b-4524-a9d5-d649dd2eaaa6,This file belongs to case CASE-01584. Case Descrip...
M4-DOC-CASE-01584-4,CASE-01584,CASE-01584;DEV-031231;DEV-031903;ORG-00655;ORG-02179;ORG-02308;ORG-03615;ORG-04304;PER-028278;PER-028283,4bd0a561-19f0-414d-878c-398a2b151d9c;5d2b2aee-bb58-40eb-8212-6322cee9fcc1;77bc0971-3e4f-4ee6-9f36-36aba2732123;97e3d372-2da8-4d92-a01b-1cfcc068265c;ee401f30-9a8b-4524-a9d5-d649dd2eaaa6,This file belongs to case CASE-01584. Case Descrip...
M4-DOC-CASE-01584-5,CASE-01584,CASE-01584;VEH-001720;VEH-013283,,This file belongs to case CASE-01584. Case Descrip...
